R,F,M,Cluster
0.8757485029940121,0.0,0.005795621753100506,1
0.016467065868263474,0.0,0.004963385912906948,2
0.11077844311377247,0.009009009009009009,0.012101738686525929,2
0.9820359281437127,0.0,0.004590166747459321,1
0.2155688622754491,0.0,0.005709824243802202,2
0.7500000000000001,0.0,0.005795621753100506,1
0.9925149700598803,0.0,0.00415688932550288,1
0.3473053892215569,0.0,0.008626939559944575,3
0.29940119760479045,0.02702702702702703,0.04815385209367371,3
0.7814371257485031,0.0,0.00560257735717932,1
0.3008982035928144,0.01801801801801802,0.006606408215969489,3
0.2275449101796407,0.05405405405405405,0.025606266650079146,3
0.8248502994011977,0.009009009009009009,0.0268589102858344,1
0.7949101796407186,0.0,0.0041611792009677954,1
0.9835329341317366,0.0,0.0019905022157206778,1
0.5838323353293414,0.0,0.005409532961258134,0
0.5823353293413174,0.0,0.002706911418361525,0
0.2919161676646707,0.0,0.0065677993367852525,3
0.971556886227545,0.0,0.0008579750929830506,1
0.46706586826347307,0.07207207207207207,0.04392832476073219,3
0.5853293413173654,0.0,0.005409532961258134,0
0.3473053892215569,0.009009009009009009,0.009141724615734405,3
0.34281437125748504,0.0,0.005795621753100506,3
0.8637724550898205,0.0,0.005366634206608981,1
0.9580838323353295,0.0,0.004590166747459321,1
0.6107784431137725,0.0,0.007979168364742372,0
0.12125748502994013,0.009009009009009009,0.015748132831703895,2
0.19461077844311378,0.06306306306306306,0.04762190753602422,2
0.08383233532934133,0.0,0.005795621753100506,2
0.0,0.29729729729729726,0.931555036957277,2
0.18712574850299402,0.0,0.0032216964741513554,2
0.7305389221556887,0.0,0.002106328853273389,0
0.46706586826347307,0.009009009009009009,0.01492876661790508,3
0.3218562874251497,0.0,0.0018403565744486436,3
0.15269461077844312,0.0,0.004079671567134405,2
0.5494011976047904,0.02702702702702703,0.0682304692694771,0
0.8592814371257486,0.0,0.00279270892765983,1
0.02844311377245509,0.009009009009009009,0.011629852385385251,2
0.44610778443113774,0.009009009009009009,0.014113690279571184,3
0.07335329341317366,0.0,0.0005190749312547456,2
0.5838323353293414,0.0,0.005409532961258134,0
0.01347305389221557,0.009009009009009009,0.003062971081949491,2
0.7619760479041917,0.0,0.0023637213811683044,1
0.9026946107784432,0.009009009009009009,0.025743542664956435,1
0.1661676646706587,0.0,0.004508659113625931,2
0.1661676646706587,0.0,0.0011625562509920335,2
0.002994011976047905,0.06306306306306306,0.11301676912319233,2
0.9940119760479043,0.0,0.004105410819923897,1
0.4835329341317366,0.01801801801801802,0.02484266881732423,0
0.4910179640718563,0.0,0.001033859987044576,0
0.4895209580838324,0.01801801801801802,0.005469591217766947,0
0.4236526946107785,0.0,0.009806655312796269,3
0.9071856287425151,0.0,0.007082584392575083,1
0.6631736526946108,0.0,0.01092631280913915,0
0.4790419161676647,0.0,0.001033859987044576,3
0.18113772455089822,0.0,0.008747056072962202,2
0.23053892215568864,0.009009009009009009,0.0011625562509920335,3
0.6856287425149701,0.009009009009009009,0.012230434950473388,0
0.08083832335329343,0.0,0.0065677993367852525,2
0.8203592814371258,0.0,0.001269803137614915,1
0.5853293413173654,0.009009009009009009,0.019506063738969657,0
0.15419161676646706,0.04504504504504505,0.03263737253707524,2
0.04790419161676647,0.009009009009009009,0.014199487788869489,2
0.9880239520958085,0.0,0.01259078448952627,1
0.7604790419161678,0.0,0.0032216964741513554,1
0.025449101796407185,0.09009009009009009,0.28648646329797045,2
0.5598802395209581,0.0,0.0028742165614932197,0
0.21407185628742514,0.0,0.00279270892765983,2
0.534431137724551,0.0,0.020020848794759488,0
0.9026946107784432,0.0,0.009605031165945252,1
0.9116766467065869,0.0,0.002106328853273389,1
0.2919161676646707,0.0,0.007931979734628303,3
0.4056886227544911,0.036036036036036036,0.10232639946462353,3
0.9071856287425151,0.0,0.0028570570596335586,1
0.8488023952095809,0.0,0.0019905022157206778,1
0.6032934131736527,0.0,0.00279270892765983,0
0.1062874251497006,0.009009009009009009,0.0019733427138610166,2
0.6467065868263474,0.0,0.004122570321783558,0
0.9925149700598803,0.0,0.005795621753100506,1
0.13173652694610777,0.0,0.007811863221610676,2
0.9820359281437127,0.0,0.004113990570853728,1
1.0,0.0,0.011509735872367624,1
0.2754491017964072,0.04504504504504505,0.03455065699442745,3
0.782934131736527,0.0,0.0036506840206428806,1
0.845808383233533,0.0,0.005448141840442371,1
0.5808383233532934,0.009009009009009009,0.006898119747583727,0
0.218562874251497,0.009009009009009009,0.009433436147348642,2
0.09431137724550899,0.0,0.0,2
0.020958083832335328,0.0,0.005233648067196608,2
0.4790419161676647,0.009009009009009009,0.020595692107058132,3
0.6826347305389222,0.009009009009009009,0.017365415881976945,0
1.0,0.0,0.005190749312547456,1
0.34580838323353297,0.009009009009009009,0.009596451415015422,3
0.4356287425149701,0.0,0.005019154293950846,3
0.7050898203592815,0.009009009009009009,0.005782752126705761,0
0.1467065868263473,0.0,0.004508659113625931,2
0.14520958083832336,0.036036036036036036,0.049282089340946425,2
0.20508982035928144,0.02702702702702703,0.013024061911482709,2
0.22604790419161677,0.01801801801801802,0.019446005482460844,3
0.47754491017964074,0.009009009009009009,0.008022067119391523,3
0.7724550898203594,0.009009009009009009,0.005997245899951524,1
0.9071856287425151,0.0,0.011368169982025422,1
0.624251497005988,0.0,0.0019905022157206778,0
0.627245508982036,0.01801801801801802,0.014178038411544911,0
0.8398203592814372,0.0,0.043803918372249645,1
0.17365269461077845,0.0,0.00032603053533355927,2
0.2844311377245509,0.0,0.003873757544818474,3
0.004491017964071857,0.1801801801801802,0.12967006567799336,2
0.47754491017964074,0.0,0.019437425731531014,3
0.04041916167664671,0.0,0.007811863221610676,2
0.18263473053892215,0.04504504504504505,0.02513438034893847,2
0.6991017964071857,0.0,0.008446764790418134,0
0.6886227544910181,0.0,0.0009437726022813556,0
0.9610778443113773,0.0,0.005795621753100506,1
0.23802395209580837,0.01801801801801802,0.018648088645986605,3
0.029940119760479045,0.036036036036036036,0.0626922400442715,2
0.9026946107784432,0.0,0.005795621753100506,1
0.056886227544910184,0.036036036036036036,0.03250009652219796,2
0.6077844311377246,0.0,0.004937646660117456,0
0.3203592814371258,0.009009009009009009,0.022011351010480164,3
0.6122754491017964,0.0,0.005795621753100506,0
0.30538922155688625,0.009009009009009009,0.008017777243926608,3
0.720059880239521,0.0,0.0019905022157206778,0
0.8997005988023953,0.0,0.007082584392575083,1
0.08083832335329343,0.05405405405405405,0.055669713908205236,2
0.8952095808383235,0.0,0.005795621753100506,1
0.5883233532934132,0.0,0.005409532961258134,0
0.29940119760479045,0.0,0.002419489762212203,3
0.031437125748503,0.0,0.0028356076823089823,2
0.6392215568862276,0.02702702702702703,0.013603195099246268,0
0.35329341317365276,0.01801801801801802,0.018206231473100336,3
0.09431137724550899,0.02702702702702703,0.01483867923314186,2
0.15868263473053892,0.0,0.008438185039488304,2
0.9146706586826348,0.0,0.012813858013701862,1
0.1032934131736527,0.09009009009009009,0.10025009973960455,2
0.031437125748503,0.036036036036036036,0.044987924000566254,2
0.7005988023952097,0.0,0.005877129386933896,0
0.025449101796407185,0.01801801801801802,0.02455524716117491,2
0.8892215568862276,0.0,0.005795621753100506,1
0.8547904191616768,0.0,0.005366634206608981,1
0.35179640718562877,0.0,0.009819524939191015,3
0.5913173652694611,0.009009009009009009,0.01428957517363271,0
0.1062874251497006,0.0,0.006812322238285422,2
0.6377245508982037,0.02702702702702703,0.02503571321324542,0
0.03293413173652695,0.05405405405405405,0.03654544908561304,2
0.13173652694610777,0.06306306306306306,0.06689631799988846,2
0.37125748502994016,0.01801801801801802,0.043786758870389984,3
0.35329341317365276,0.02702702702702703,0.012740930130798302,3
0.35928143712574856,0.0,0.00279270892765983,3
0.16017964071856286,0.0,0.00415688932550288,2
0.7440119760479043,0.0,0.002106328853273389,0
0.3158682634730539,0.01801801801801802,0.0046373553775733885,3
0.7485029940119761,0.0,0.0023637213811683044,1
0.7185628742514971,0.0,0.005396663334863388,0
0.5194610778443114,0.0,0.00415688932550288,0
0.28742514970059885,0.01801801801801802,0.021367869690742877,3
0.6257485029940121,0.0,0.0019905022157206778,0
0.7290419161676648,0.0,0.0023637213811683044,0
0.3473053892215569,0.01801801801801802,0.004577297121064575,3
0.5374251497005988,0.009009009009009009,0.005842810383214574,0
0.13173652694610777,0.009009009009009009,0.015748132831703895,2
0.1377245508982036,0.036036036036036036,0.04217376569558185,2
0.18263473053892215,0.0,0.00279270892765983,2
0.16467065868263472,0.05405405405405405,0.06206591822639388,2
0.8128742514970061,0.0,0.0063018270579605065,1
0.2784431137724551,0.0,0.007919110108233558,3
0.0,0.1981981981981982,0.22362262823510232,2
0.9266467065868265,0.0,0.0023637213811683044,1
0.2904191616766467,0.0,0.0032216964741513554,3
0.16467065868263472,0.0,0.002419489762212203,2
0.8982035928143713,0.0,0.0032216964741513554,1
0.025449101796407185,0.036036036036036036,0.03859600955784253,2
